grid_num,param_name,total_return,annualized_return,annualized_sharpe,annualized_ir,average_holding_period,max_holding_amount,remaining_capital
1,**Pos: macd_x,-inf,inf,,,9.895049504950496,248,-inf
29,**Pos: b_bands **Neg: macd_x || rsi_x,-inf,inf,,,11.825742574257426,266,-inf
31,**Pos: macd_x || rsi_x **Neg: z,-inf,inf,,,17.40990099009901,338,-inf
33,**Pos: macd_x **Neg: rsi_x || z,-inf,inf,,,13.453465346534653,333,-inf
35,**Pos: rsi_x **Neg: macd_x || z,-inf,inf,,,16.20990099009901,300,-inf
10,**Pos: b_bands **Neg: macd_x,-inf,inf,,,11.740594059405941,258,-inf
38,**Pos: macd_x || b_bands **Neg: z,-inf,inf,,,13.702970297029703,337,-inf
40,**Pos: macd_x **Neg: b_bands || z,-inf,inf,,,9.895049504950496,248,-inf
42,**Pos: b_bands **Neg: macd_x || z,-inf,inf,,,11.966336633663367,290,-inf
45,**Pos: rsi_x || b_bands **Neg: z,-inf,inf,,,16.825742574257426,345,-inf
49,**Pos: b_bands **Neg: rsi_x || z,-inf,inf,,,10.497029702970297,284,-inf
5,**Pos: macd_x || rsi_x,-inf,inf,,,16.805940594059408,278,-inf
51,**Pos: macd_x || rsi_x || b_bands **Neg: z,-inf,inf,,,17.451485148514852,369,-inf
53,**Pos: macd_x || rsi_x **Neg: b_bands || z,-inf,inf,,,16.805940594059408,278,-inf
54,**Pos: macd_x || b_bands || z **Neg: rsi_x,-inf,inf,,,11.128712871287128,290,-inf
55,**Pos: macd_x || b_bands **Neg: rsi_x || z,-inf,inf,,,13.47920792079208,333,-inf
58,**Pos: rsi_x || b_bands **Neg: macd_x || z,-inf,inf,,,15.92079207920792,324,-inf
6,**Pos: macd_x **Neg: rsi_x,-inf,inf,,,11.128712871287128,290,-inf
8,**Pos: macd_x || b_bands,-inf,inf,,,13.679207920792079,337,-inf
3,**Pos: b_bands,-inf,inf,,,10.104950495049504,282,-inf
37,**Pos: macd_x || b_bands || z,-inf,inf,,,9.895049504950496,248,-inf
18,**Pos: rsi_x **Neg: z,-inf,inf,,,16.974257425742575,297,-inf
23,**Pos: macd_x || rsi_x || b_bands,-inf,inf,,,17.40990099009901,338,-inf
16,**Pos: b_bands **Neg: rsi_x,-inf,inf,,,10.497029702970297,284,-inf
27,**Pos: rsi_x || b_bands **Neg: macd_x,-inf,inf,,,16.20990099009901,300,-inf
14,**Pos: rsi_x || b_bands,-inf,inf,,,16.974257425742575,297,-inf
25,**Pos: macd_x || b_bands **Neg: rsi_x,-inf,inf,,,13.453465346534653,333,-inf
12,**Pos: macd_x **Neg: z,-inf,inf,,,13.679207920792079,337,-inf
21,**Pos: b_bands **Neg: z,-inf,inf,,,10.104950495049504,282,-inf
56,**Pos: macd_x || z **Neg: rsi_x || b_bands,7.0542471969933205,1.838000563247534,3.28458698509646,-74.9521484104873,201.27524752475247,330,5337.58224596231
9,**Pos: macd_x **Neg: b_bands,6.512649941759216,1.7409213673068433,4.149243890758379,-100.43173338899491,220.22574257425742,391,812.4643241199924
11,**Pos: macd_x || z,6.512649941759216,1.7409213673068433,4.149243890758379,-100.43173338899491,220.22574257425742,391,812.4643241199924
50,**Pos: z **Neg: rsi_x || b_bands,6.443668491937136,1.7283087237219208,3.2096162650666678,-76.24960022539861,146.4851485148515,315,2265.0818224785417
39,**Pos: macd_x || z **Neg: b_bands,6.423215303361179,1.7245578179515992,4.116717022124903,-100.26450650779974,221.4178217821782,391,801.6968318059412
32,**Pos: macd_x || z **Neg: rsi_x,5.9853941332864835,1.6429896203516359,3.0227824641245693,-74.1144877337723,191.64950495049504,292,3159.0363468068845
26,**Pos: macd_x **Neg: rsi_x || b_bands,5.9853941332864835,1.6429896203516359,3.0227824641245693,-74.1144877337723,191.64950495049504,292,3159.0363468068845
24,**Pos: macd_x || rsi_x **Neg: b_bands,5.937406956307151,1.6338957755209584,3.931300294520057,-99.31635325667285,224.4950495049505,405,1159.5929297013577
30,**Pos: macd_x || rsi_x || z,5.937406956307151,1.6338957755209584,3.931300294520057,-99.31635325667285,224.4950495049505,405,1159.5929297013577
